epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,1417.71,0.51562,0.66483,0.39364,0.82557,0.71889,0.7869,0.38498,0.58072,0.55139,0.56033,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
23,1480.82,0.52224,0.65682,0.38951,0.85465,0.77675,0.84523,0.46779,0.50653,0.51508,0.45438,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
215,10310.6,0.3184,0.47648,0.23468,0.94154,0.87555,0.93312,0.61984,0.43121,0.42494,0.38181,0.0172884,0.0057628,0.0172884,0.0057628,0.0172884,0.0057628,0.0172884,0.0057628
216,10374,0.30546,0.46545,0.23461,0.94133,0.87391,0.93133,0.61934,0.42951,0.42701,0.3811,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
24,1544.4,0.49692,0.65199,0.37217,0.85174,0.71185,0.79476,0.40487,0.55427,0.53823,0.50688,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
217,10437.3,0.31897,0.47433,0.24052,0.94747,0.87391,0.9334,0.62282,0.42667,0.42789,0.37506,0.0171696,0.0057232,0.0171696,0.0057232,0.0171696,0.0057232,0.0171696,0.0057232
25,1607.69,0.52599,0.65673,0.39119,0.82655,0.73035,0.78689,0.34636,0.62169,0.55685,0.60776,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
218,10500.5,0.32614,0.48165,0.23808,0.9431,0.87766,0.93441,0.62576,0.42311,0.42656,0.37386,0.0171102,0.0057034,0.0171102,0.0057034,0.0171102,0.0057034,0.0171102,0.0057034
26,1670.86,0.50879,0.64993,0.37696,0.85051,0.77183,0.84707,0.42792,0.54909,0.53084,0.51424,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
219,10563.6,0.30499,0.46911,0.22933,0.94591,0.87827,0.93602,0.62885,0.42231,0.42735,0.374,0.0170508,0.0056836,0.0170508,0.0056836,0.0170508,0.0056836,0.0170508,0.0056836
27,1734.01,0.49298,0.64713,0.37259,0.8556,0.77129,0.8362,0.42959,0.54948,0.52868,0.50037,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
