epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,860.5,1.41828,1.23171,1.56206,0.73863,0.65098,0.73234,0.45375,1.47523,1.1538,1.45243,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,874.104,1.41677,1.23097,1.56865,0.73418,0.65582,0.74266,0.45489,1.50264,1.17125,1.49599,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,893.139,1.40895,1.23812,1.56854,0.72353,0.62991,0.72191,0.45145,1.54345,1.20369,1.53121,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,911.575,1.40796,1.21922,1.55961,0.7026,0.6048,0.69772,0.44485,1.51857,1.25034,1.50679,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,924.942,1.40563,1.22108,1.56004,0.75047,0.64024,0.73484,0.42678,1.65609,1.19929,1.56475,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
54,943.45,1.39116,1.2065,1.55046,0.74066,0.65944,0.74875,0.46061,1.51558,1.18318,1.49993,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
55,962.421,1.40659,1.21865,1.55985,0.80994,0.67692,0.77252,0.48456,1.44987,1.08355,1.45228,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
56,976.119,1.40356,1.20476,1.5503,0.78312,0.67803,0.77324,0.45878,1.64275,1.09151,1.53884,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
57,994.635,1.38363,1.19959,1.54416,0.81082,0.65742,0.76712,0.48432,1.42108,1.08059,1.43408,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
58,1014.43,1.37448,1.18382,1.53248,0.74602,0.70197,0.76035,0.47967,1.4297,1.09578,1.43636,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
59,1028.55,1.38611,1.18327,1.52662,0.78603,0.6774,0.78253,0.48138,1.55201,1.05769,1.47702,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
60,1046.12,1.3888,1.16692,1.546,0.80679,0.68837,0.78924,0.47982,1.56759,1.03172,1.51503,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
61,1065.72,1.37984,1.16389,1.53053,0.81517,0.64683,0.76433,0.50146,1.42728,1.08894,1.42843,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
62,1079.16,1.38175,1.18274,1.5282,0.76831,0.66485,0.77276,0.49501,1.42133,1.08005,1.4205,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922
63,1097.87,1.37182,1.16843,1.52524,0.78739,0.64847,0.7574,0.48246,1.46305,1.1681,1.45089,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
64,1115.72,1.36722,1.15791,1.52727,0.78071,0.69432,0.78063,0.49271,1.47263,1.05312,1.45272,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526
65,1129.29,1.36613,1.1417,1.51513,0.80755,0.69378,0.79568,0.49856,1.48936,1.02607,1.45318,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
66,1150.1,1.37537,1.17377,1.53438,0.80587,0.69978,0.79398,0.50801,1.4145,1.02807,1.40156,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
67,1166.84,1.3472,1.13945,1.51098,0.77231,0.66103,0.75651,0.46532,1.5566,1.10949,1.50113,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
68,1181.29,1.35582,1.15673,1.51833,0.81268,0.70852,0.79999,0.5114,1.45805,1.00417,1.42962,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734
69,1202.59,1.3537,1.12582,1.51111,0.77711,0.6643,0.75883,0.46415,1.57296,1.08989,1.48636,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
70,1220.45,1.36735,1.14047,1.51372,0.76308,0.70852,0.78091,0.51561,1.39988,1.00766,1.40841,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338
71,1236.51,1.34435,1.12031,1.50852,0.80685,0.72325,0.80992,0.50518,1.41496,1.0136,1.41561,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
72,1258.86,1.34411,1.10817,1.49993,0.78835,0.71975,0.79928,0.50287,1.46685,0.97812,1.41933,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942
73,1274.21,1.35058,1.13165,1.5093,0.82244,0.71834,0.8164,0.53254,1.36034,0.9848,1.36583,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
74,1288.95,1.33717,1.11426,1.49932,0.82154,0.69869,0.80179,0.51753,1.38298,0.95227,1.37587,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546
75,1310.57,1.34946,1.10732,1.50656,0.83004,0.71179,0.81349,0.5318,1.37275,0.96514,1.37078,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
76,1325.46,1.35066,1.12103,1.4943,0.80821,0.71768,0.81374,0.52033,1.43028,0.95731,1.37725,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
77,1340.27,1.33371,1.11009,1.49052,0.80851,0.72368,0.80729,0.53917,1.36909,0.97235,1.37661,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
78,1358.17,1.33033,1.09846,1.48949,0.78837,0.70961,0.79363,0.5287,1.38017,0.97838,1.38728,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754
79,1371.89,1.32741,1.10203,1.48617,0.83192,0.71943,0.81901,0.54342,1.37653,0.9558,1.36662,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
80,1393,1.33033,1.09877,1.4895,0.84574,0.73526,0.83451,0.55042,1.33828,0.9172,1.34165,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358
81,1409.08,1.32526,1.08455,1.48222,0.82783,0.73799,0.82961,0.52984,1.43552,0.92816,1.40506,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
82,1423.4,1.32374,1.07869,1.48034,0.83371,0.6951,0.80427,0.5238,1.4057,0.96701,1.39672,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962
83,1445.09,1.33339,1.09242,1.49869,0.82477,0.7309,0.82501,0.52668,1.4086,0.96461,1.39095,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
84,1459.56,1.32529,1.08602,1.47905,0.84862,0.6845,0.80804,0.52838,1.37273,0.96245,1.39319,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566
85,1474.87,1.32483,1.0789,1.49211,0.82531,0.73756,0.82573,0.5463,1.35737,0.91422,1.3748,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
86,1496.63,1.32331,1.08847,1.47889,0.80538,0.74544,0.81754,0.53693,1.3692,0.92355,1.3852,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
87,1511.1,1.30897,1.06441,1.48141,0.83471,0.75164,0.83372,0.54734,1.31572,0.9184,1.33057,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972
88,1525.33,1.30258,1.06024,1.4751,0.83281,0.72052,0.81748,0.52848,1.44103,0.93838,1.40103,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774
89,1546.07,1.31166,1.06223,1.46608,0.83783,0.72192,0.81539,0.53214,1.36433,0.94226,1.37411,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576
90,1559.66,1.31775,1.06628,1.47359,0.80072,0.70197,0.79876,0.48429,1.50135,1.004,1.45477,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378
91,1575.75,1.30579,1.05166,1.46203,0.84181,0.75164,0.83843,0.56145,1.31616,0.87164,1.31834,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
92,1597.03,1.31092,1.06772,1.47346,0.82923,0.72434,0.82042,0.53289,1.34952,0.93511,1.33924,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982
93,1610.72,1.29872,1.0424,1.45459,0.84859,0.75928,0.84184,0.55999,1.35089,0.89053,1.33499,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784
94,1633.72,1.29864,1.03811,1.45501,0.8366,0.74072,0.8331,0.54576,1.34084,0.90827,1.33862,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586
95,1650.58,1.30046,1.04065,1.46109,0.83568,0.75273,0.83601,0.54323,1.32311,0.90773,1.33131,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388
96,1663.9,1.2881,1.02688,1.44859,0.83507,0.74672,0.83591,0.55793,1.34525,0.89093,1.35134,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
97,1683.13,1.29104,1.0259,1.45065,0.83778,0.75055,0.83676,0.55653,1.33078,0.86833,1.32832,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992
98,1701.47,1.29269,1.03547,1.46087,0.84043,0.75164,0.84089,0.53773,1.41658,0.88372,1.36734,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794
99,1714.71,1.29669,1.02091,1.45006,0.85706,0.73799,0.83551,0.55371,1.31298,0.86964,1.32818,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596
100,1733.86,1.29147,1.03464,1.45749,0.81379,0.76097,0.83565,0.55761,1.32434,0.88003,1.33391,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398
101,1751.08,1.28624,1.02309,1.43287,0.85721,0.76037,0.8517,0.57327,1.30099,0.84257,1.30648,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
102,1767.84,1.28942,1.01634,1.44667,0.87121,0.7429,0.85303,0.58085,1.29016,0.83798,1.3189,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002
103,1788.98,1.28365,1.01736,1.44807,0.87736,0.7369,0.84748,0.56723,1.31499,0.84884,1.32822,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804
